California Department of Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private School Directory 2009-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"February 1, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Enrollment,Enrollment,,,,,,,Site,Site,Site,Site,,,,,High,Number of,,,,,,,,,,,Special,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian,Custodian
82651,San Mateo,The Nueva School,Hillsborough City Elementary,41689086978712,650,350,4600,6565 Skyline Boulevard,Hillsborough,CA,94010,drosenberg@nuevaschool.org,37,37,42,42,42,43,56,51,47,0,0,0,0,0,0,397, ,,,,,Mrs.,Diane,Rosenberg,Executive Director,Coeducational,Day Only,K,8,No,0,51,32,9,28,Yes,Yes,Yes,No,Non-religious,,No,Mrs.,Lupe,Ruiz,6565 Skyline Boulevard,Hillsborough,CA,94010,lruiz@nuevaschool.org
81270,San Mateo,Trinity School,Las Lomitas Elementary,41689576965602,650,854,0288,2650 Sand Hill Road ,Menlo Park,CA,94025,mcampbell@trinity-mp.org,35,18,22,19,16,18,0,0,0,0,0,0,0,0,0,128, ,,,,,Ms.,Mary,Menacho,Head of School,Coeducational,Day Only,K,5,No,0,8,5,8,7,No,No,No,Yes,Religious,EPIS,No,Ms.,Marie,Campbell,2650 Sand Hill Road,Menlo Park,CA,94025,mcampbell@trinity-mp.org
83618,San Mateo,West Bay Christian Academy,Redwood City Elementary,41690057086762,650,364,6000,901 Madison Avenue,Redwood City,CA,94061,info@wbcaschool.org,12,12,7,9,2,11,5,5,11,0,0,0,0,0,0,74, ,,,,,Mr.,Edward,Swift,Principal,Coeducational,Day Only,K,8,No,0,6,1,2,5,Yes,Yes,Yes,No,Religious,NA,No,Mr.,Edward,Swift,901 Madison Avenue,Redwood City,CA,94061,galeed@gmail.com
73008,San Mateo,West Bay High School,Sequoia Union High,41690626940209,650,595,5022,"1561 Laurel Street, Suite A",San Carlos,CA,94070,INFO@WESTBAYHIGH.ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33, ,,CA,,,Mrs.,Gloria,Senteney,Director,Coeducational,Day Only,9,12,Yes,20,0,5,2,1,Yes,Yes,Yes,No,Non-religious,,No,Mrs.,Gloria,Senteney,"1561 Laurel Street, Suite A",San Carlos,CA,94070,bgsenteney@yahoo.com
74711,San Mateo,Wings Learning Center,Redwood City Elementary,41690056204002,650,365,3250,411 Middlefield Road ,Redwood City,CA,94063,info@wingslearningcenter.org,2,7,1,1,3,1,4,2,2,2,2,1,0,0,0,28, ,,,,,Ms.,Jaejin,Lee,Executive Director,Coeducational,Day Only,K,12,No,0,5,0,3,22,Yes,No,No,No,Non-religious,,Yes,Ms.,Bethany,DeJulio,411 Middlefield Road,Redwood City,CA,94063,dejulio@wingslearningcenter.org
85726,San Mateo,Woodland School,Las Lomitas Elementary,41689576915185,650,854,9065,360 LaCuesta Drive,Portola Valley,CA,94028,jora@woodland-school.org,30,28,34,30,25,20,18,15,14,0,0,0,0,0,0,214, ,,,,,Mr.,Robert,Rooney,Administrator,Coeducational,Day Only,K,8,No,0,24,2,4,9,Yes,No,No,No,Non-religious,,No,Mrs.,Jocelyn,Boneso,360 LaCuesta Drive,Portola Valley,CA,94028,jboneso@woodland-school.org
79687,San Mateo,Woodside Priory,Sequoia Union High,41690626940217,650,851,8221,302 Portola Road ,Portola Valley,CA,94028,tmolak@woodsidepriory.com,0,0,0,0,0,0,33,35,33,74,69,71,59,0,0,374, ,,,,,Mr.,Tim,Molak,Head of School,Coeducational,Both,6,12,Yes,68,46,11,5,45,Yes,No,No,No,Religious,CATH,No,Mrs.,Rose,Guerra,302 Portola Road ,Portola Valley,CA,94028,rguerra@prioryca.org
82119,Santa Barbara,Agape School of Christian Education,Santa Maria-Bonita Elementary,42691206201388,805,614,9292,109 West Fesler Street,Santa Maria,CA,93458,,1,1,0,1,2,1,0,1,0,2,1,0,1,0,0,11, ,,,,,Mrs.,Margaret,Gorman,Administrator,Coeducational,Day Only,K,12,No,0,1,0,1,0,Yes,No,No,No,Religious,NA,No,Mrs.,Margaret,Gorman,109 West Fesler Street,Santa Maria,CA,93458,rainbowbrain@verizon.net
78959,Santa Barbara,"Anacapa, The",Santa Barbara High,42692866940225,805,965,0228,814 Santa Barbara Street,Santa Barbara,CA,93101,anacapa@anacapaschool.org,0,0,0,0,0,0,0,5,11,9,13,11,7,0,0,56, ,,,,,Mr.,Gordon,Sichi,Headmaster,Coeducational,Day Only,7,12,Yes,7,5,7,2,1,Yes,Yes,Yes,No,Non-religious,,No,Mr.,Gordon,Sichi,814 Santa Barbara Street,Santa Barbara,CA,93101,anacapa@anacapaschool.org
73599,Santa Barbara,"Bishop Garcia Diego High School, Inc.",Santa Barbara High,42692866940241,805,967,1266,4000 La Colina Road,Santa Barbara,CA,93110-1412,telewaut@bishopdiego.org,0,0,0,0,0,0,0,0,0,63,72,76,64,0,0,275,4000 La Colina Road,Santa Barbara,CA,93110,,Fr.,Thomas,Elewaut,Principal,Coeducational,Day Only,9,12,Yes,64,20,5,5,13,Yes,Yes,No,No,Religious,CATH,Yes,Mrs.,Cynthia,McCarthy,4000 La Colina Road,Santa Barbara,CA,93110,cmcarthy@bishopdiego.org
76496,Santa Barbara,Cachuma Elementary School,Santa Ynez Valley Union High,42693286138457,805,701,4036,4500 Highway 154 Highway,Santa Barbara,CA,93105,meghantalt@hotmail.com,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,P.O. Box 61810,Santa Barbara,CA,93160,,Ms.,Meghan,Talt,Administrator,Coeducational,Day Only,1,12,Yes,0,2,6,2,0,No,No,No,Yes,Non-religious,,No,Ms.,Meghan,Talt,P.O. Box 61810 ,Santa Barbara,CA,93160,meghantalt@hotmail.com
72806,Santa Barbara,Cate School,Carpinteria Unified,42691466940256,805,684,4127,1960 Cate Mesa Road,Carpinteria,CA,93013,sandi_pierce@cate.org,0,0,0,0,0,0,0,0,0,65,78,70,64,0,0,277,P.O. Box 5005 ,Carpinteria,CA,93014,,Mrs.,Sandi,Pierce,Other,Coeducational,Both,9,12,No,62,47,5,13,58,Yes,No,No,No,Non-religious,,No,Mr.,Joe,DeGuzman,1960 Cate Mesa Road,Carpinteria,CA,93013,joe_deguzman@cate.org
80325,Santa Barbara,Central Coast Preparatory,Orcutt Union Elementary,42692607097033,805,934,4124,785 Glen Eagles Drive,Santa Maria,CA,93455,teacherjoan@verizon.net,0,1,0,2,2,5,1,2,4,5,1,4,5,0,0,32, ,,,,,Mrs.,Joan,Schumacher,Director,Coeducational,Day Only,K,12,Yes,2,15,13,1,0,No,No,No,Yes,Religious,NA,No,Mrs.,Joan,Schumacher,785 Glen Eagles Drive,Santa Maria,CA,93455,teacherjoan@verizon.net
74187,Santa Barbara,"Children's House Montessori School, The",Orcutt Union Elementary,42692606928113,805,937,0991,1331 East Foster Road ,Santa Maria,CA,93455,info@tchmontessori.org,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,P.O. Box 1010,Santa Maria,CA,93456-1010,,Ms.,Robin,Palmerston,Other,Coeducational,Day Only,K,K,No,0,1,0,1,1,No,No,No,Yes,Non-religious,,No,Ms.,Robin,Palmerston,P.O. Box 1010,Santa Maria,CA,93456-1010,rpalmerston@tchmontessori.org
72354,Santa Barbara,Children's Montessori School,Lompoc Unified,42692296925291,805,733,2290,"3910 Constellation Road, Suite 101",Lompoc,CA,93436,montessorilompoc@aol.com,2,4,1,2,4,1,0,0,0,0,0,0,0,0,0,14,P.O. Box 3510,Lompoc,CA,93438,,Mr.,James,Murphy,Administrator,Coeducational,Day Only,K,8,No,0,1,1,1,0,Yes,Yes,No,No,Non-religious,,No,Mrs.,Emmy Lou,Crawford,"3910 Constellation Road, Suite 101",Lompoc,CA,93436,montessorilompoc@aol.com
82869,Santa Barbara,Christ the King,Santa Maria-Bonita Elementary,42691207104441,805,352,1374,1431 Mount Whitney Way ,Santa Maria,CA,93454,,1,0,1,0,1,0,1,0,0,1,0,0,2,0,0,7,P.O. Box 5970 ,Santa Maria,CA,93456,,Mr.,Harold,Russ,Principal,Coeducational,Day Only,K,12,Yes,0,1,2,1,0,No,No,No,Yes,Religious,NA,No,Mr.,Harold,Russ,1431 Mount Whitney Way ,Santa Maria,CA,93454,
72199,Santa Barbara,Coastline Christian Academy,Goleta Union Elementary,42691957099849,805,967,5834,5950 Cathedral Oaks Road,Goleta,CA,93117,cca@sbcoxmail.com,14,16,15,11,9,6,9,6,2,0,0,0,0,0,0,88, ,,,,,Mrs.,Mary,Osgood,Principal,Coeducational,Day Only,K,8,No,0,8,2,1,1,Yes,No,No,No,Religious,INTD,No,Mrs.,Mary,Osgood,5950 Cathedral Oaks Road,Goleta,CA,93117,mhosgood@sbceo.org
82648,Santa Barbara,Covenant Christian School of Santa Ynez,Santa Ynez Valley Union High,42693286138168,805,688,6880,1345 Calzada Avenue,Santa Ynez,CA,93460,HisCovenant777@gmail.com,0,0,0,2,0,2,3,0,4,1,2,3,0,0,0,17, ,,,,,Mrs.,Susan,Brophy,Administrator,Coeducational,Day Only,K,12,No,0,8,0,1,0,No,No,No,Yes,Religious,NA,No,Mrs.,Susan,Brophy,1345 Calzada Avenue,Santa Ynez,CA,93460,brophysusan@hotmail.com
79156,Santa Barbara,Crane Country Day School,Montecito Union Elementary,42692526979009,805,969,7732,1795 San Leandro Lane,Santa Barbara,CA,93108,adavis@craneschool.org,20,19,21,21,21,30,34,49,44,0,0,0,0,0,0,259, ,,,,,Mr.,Joel,Weiss,Head of School,Coeducational,Day Only,K,8,No,0,24,9,9,12,Yes,No,No,No,Non-religious,,No,Ms.,Jackie,Terry,1795 San Leandro Lane,Santa Barbara,CA,93108,jterry@craneschool.org
82185,Santa Barbara,Crossroads Christian Junior High,Santa Maria-Bonita Elementary,42691207078884,805,922,0237,1550 South College Drive,Santa Maria,CA,93454,sue.pruett@ccjh.org,0,0,0,0,0,0,8,6,25,0,0,0,0,0,0,39, ,,,,,Mrs.,Sue,Pruett,Administrator,Coeducational,Day Only,6,8,No,0,3,3,1,2,Yes,No,No,No,Religious,NA,No,Mrs.,Sue,Pruett,1550 South College Drive,Santa Maria,CA,93454,sue.pruett@ccjh.org
83900,Santa Barbara,Dunn School,Los Olivos Elementary,42693286940282,805,688,6471,2555 West Highway,Los Olivos,CA,93441,tholmes@dunnschool.org,0,0,0,0,0,0,19,24,26,16,42,45,47,0,0,219,P.O. Box 98,Los Olivos,CA,93441,,Mr.,Michael,Beck,Head of School,Coeducational,Both,6,12,Yes,42,34,2,16,33,Yes,No,No,No,Non-religious,,No,Mr.,Tom,Holmes,P.O. Box 98,Los Olivos,CA,93441,tholmes@dunschool.org
82208,Santa Barbara,El Montecito School,Santa Barbara Elementary,42692787079544,805,962,3091,630 East Canon Perdido Street,Santa Barbara,CA,93103,elmoschool@gmail.com,13,16,10,13,13,13,7,0,0,0,0,0,0,0,0,85, ,,,,El Montecito Early/Upper School,Mrs.,R Jeannine,Morgan,Director,Coeducational,Day Only,K,6,No,0,9,5,3,4,Yes,No,No,No,Religious,NA,No,Ms.,Julia,Sommers,630 East Canon Perdido Street,Santa Barbara,CA,93103,jgsommers@gmail.com
79011,Santa Barbara,"Family School, The",Los Olivos Elementary,42692457063357,805,688,5440,5100A Figueroa Mountain Road,Los Olivos,CA,93441,famsch@silcom.com,9,10,6,11,11,8,0,0,0,0,0,0,0,0,0,55,P.O. Box 481,Los Olivos,CA,93441,,Ms.,Miki,Holden,Head of School,Coeducational,Day Only,K,5,No,0,8,4,3,1,Yes,No,No,No,Non-religious,,No,Mr.,John ,Norton,5100A Figueroa Mountain Road,Los Olivos,CA,93441,jnorton@silcom.com
75786,Santa Barbara,"Howard Carden, The",Carpinteria Unified,42691467102676,805,745,8448,5315 Foothill Road ,Carpinteria,CA,93013,joelreed@thehowardschool.org,9,11,7,12,10,2,7,1,8,0,0,0,0,0,0,67, ,,,,,Mr.,Joel,Reed,Head of School,Coeducational,Day Only,K,8,No,0,7,5,1,2,Yes,No,No,No,Non-religious,,No,Mr.,Joel,Reed,5315 Foothill Road,Carpinteria,CA,93013,joelreed@thehowardschool.org
80037,Santa Barbara,La Purisima Concepcion Elementary,Lompoc Unified,42692296965628,805,736,6210,219 West Olive Avenue,Lompoc,CA,93436,Marcy.Tijerina@lapurisima.org,20,16,18,10,13,15,11,15,18,0,0,0,0,0,0,136, ,,,,,Mr.,Michael,Bressert,Principal,Coeducational,Day Only,K,8,No,0,7,1,1,3,Yes,No,No,No,Religious,CATH,No,Mr.,Michael,Bressert,219 West Olive Avenue,Lompoc,CA,93436,
72853,Santa Barbara,Laguna Blanca School,Santa Barbara High,42692866940290,805,687,2461,4125 Paloma Drive ,Santa Barbara,CA,93110,,16,21,15,22,21,20,22,46,51,36,45,56,45,0,0,416, ,,,,,Mr.,Paul,Slocombe,Head of School,Coeducational,Day Only,K,12,Yes,56,56,10,10,23,Yes,No,No,No,Non-religious,,No,Mr.,Paul,Slocombe,4125 Paloma Drive ,Santa Barbara,CA,93110,
81090,Santa Barbara,Los Olivos Academy,Los Olivos Elementary,42692456137228,805,689,5880,3050 Figueroa Mountain Road,Los Olivios,CA,93441,BRAD@STOLTEYCPA.COM,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0,6,P.O. Box 57,Los Olivios,CA,93441,"ALL ""A"" SCHOOL",Mr.,Brad,Stoltey,Principal,Coeducational,Day Only,K,12,Yes,0,1,0,1,0,No,No,No,Yes,Non-religious,,No,Mr.,Brad,Stoltey,P.O. Box 57,Los Olivos,CA,93441,BRAD@STOLTEYCPA.COM
72144,Santa Barbara,Marymount of Santa Barbara,Santa Barbara Elementary,42692786965644,805,569,1811,2130 Mission Ridge Road,Santa Barbara,CA,93103,www.marymountsb.org,19,14,12,24,20,25,29,27,33,0,0,0,0,0,0,203, ,,,,,Mrs.,Deborah,David,Head of School,Coeducational,Day Only,K,8,No,0,22,6,7,7,Yes,Yes,Yes,No,Religious,CATH,No,Mrs.,Nancy,Shinn,2130 Mission Ridge Road,Santa Barbara,CA,93103,nshinn@marymountsb.org
72561,Santa Barbara,Midland School,Santa Ynez Valley Union High,42693286940308,805,688,5114,5100 Figueroa Mountain Road,Los Olivos,CA,93441,office@midland-school.org,0,0,0,0,0,0,0,0,0,23,22,22,14,0,0,81,P.O. Box 8 ,Los Olivos,CA,93441,,Mr.,William ,Graham,Head of School,Coeducational,Both,9,12,Yes,0,14,6,5,12,Yes,No,No,No,Non-religious,,No,Mrs.,Jill,Brady,P.O. Box 8 ,Los Olivos,CA,93441,jbrady@midland-school.org
75036,Santa Barbara,Montessori Center School,Goleta Union Elementary,42691956991111,805,683,9383,"401 North Fairview Avenue, Suite 1",Goleta,CA,93117,office@mcssb.org,38,23,20,30,20,26,16,0,0,0,0,0,0,0,0,173, ,,,,,Ms.,Nelda,Nutter,Head of School,Coeducational,Day Only,K,6,No,0,29,11,1,7,No,No,No,Yes,Non-religious,,No,Ms.,Cindy,Pratt,"401 North Fairview Avenue, Suite 1",Goleta,CA,93117,office@mcssb.org
80721,Santa Barbara,New Life Christian Academy,Lompoc Unified,42692297079528,805,736,9826,816 North C Street,Lompoc,CA,93436,newlife@sbceo.org,2,0,4,3,4,0,1,6,2,2,2,0,2,0,0,28, ,,,,,Rev.,Doug,Conley,Administrator,Coeducational,Day Only,K,12,Yes,2,2,1,1,0,No,Yes,No,No,Religious,NA,No,Rev.,Doug ,Conley,816 North C Street,Lompoc,CA,93436,newlife@sbceo.org
81167,Santa Barbara,Northgate Christian Academy,Lompoc Unified,42692296137541,805,735,8873,112 North Z Street,Lompoc,CA,93436,NorthgateChristianAcademy@gmail.com,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,7, ,,,,,Mrs.,Maggie,Graham,Administrator,Coeducational,Day Only,1,11,No,0,1,0,1,0,No,No,No,Yes,Religious,NA,No,Mrs.,Maggie,Graham,112 North Z Street,Lompoc,CA,93436,NorthgateChristianAcademy@gmail.com
72600,Santa Barbara,Notre Dame,Santa Barbara Elementary,42692786993836,805,965,1033,33 East Micheltorenat Street,Santa Barbara,CA,93101,office@notredamesb.org,20,7,17,12,19,17,10,17,15,0,0,0,0,0,0,134,1716 Calle Cerro ,Santa Barbara,CA,93101,,Mr.,Henry,Barajas,Principal,ucational,Day Only,K,8,No,0,9,0,1,4,Yes,No,No,No,Religious,CATH,No,Mr.,Henry,Barajas,1161 West First Street,Oxnard,CA,93030,deaconhenry@notredamesb.org
80401,Santa Barbara,Orca School,Santa Barbara Elementary,42692787097777,805,448,3308,1525 Santa Barbara Street,Santa Barbara ,CA,93101,orcaschool@aol.com,0,6,0,2,6,2,0,0,0,0,0,0,0,0,0,16,P.O. Box 92215,Santa Barbara ,CA,93190-2215,,Mr.,Rob,Harrington,Headmaster,Coeducational,Day Only,1,5,No,0,2,5,0,0,Yes,No,No,No,Non-religious,,No,Mr.,Robert,Harrington,P.O. Box 92215,Santa Barbara,CA,93190-2215,orcaschool@aol.com
73224,Santa Barbara,Our Lady of Mt. Carmel Elementary,Montecito Union Elementary,42692526965669,805,969,5965,530 Hot Springs Road,Santa Barbara,CA,93108,karenr@mountcarmelschool.net,23,24,23,20,20,16,25,18,16,0,0,0,0,0,0,185, ,,,,,Mrs.,Karen,Regan,Principal,Coeducational,Day Only,K,8,No,0,8,8,1,4,Yes,No,No,No,Religious,CATH,No,Mrs.,Claudia,Jimenez,530 Hot Springs Road,Santa Barbara,CA,93108,csjimenez@la-archdiocese.org
72317,Santa Barbara,Pacific Christian,Orcutt Union Elementary,42692606905335,805,934,1253,3435 Santa Maria Way ,Santa Maria,CA,93455,school@pacificchristian.net,37,30,27,39,27,42,27,28,23,0,0,0,0,0,0,280, ,,,,,Mr.,Joseph,Hunt,Administrator,Coeducational,Day Only,K,8,No,0,14,4,2,21,Yes,No,No,No,Religious,NA,No,Mrs.,Karen ,Moulder,3435 Santa Maria Way ,Santa Maria,CA,93455,kmoulder@pacificchristian.net
81542,Santa Barbara,Providence Hall High School,Santa Barbara High,42692866137533,805,962,4400,"19 East Micheltorena, Suite A",Santa Barbara,CA,93101,info@providencehallsb.org,0,0,0,0,0,0,0,0,0,14,20,18,2,0,0,54, ,,,,,Mr.,Tim,Loomer,Administrator,Coeducational,Day Only,9,12,Yes,5,6,4,2,1,Yes,No,No,No,Religious,INTD,No,Mr.,Tim,Loomer,"19 East Micheltorena, Suite A",Santa Barbara,CA,93101,tloomer@providencehallsb.org
72328,Santa Barbara,Saint John of Damascus Academy,Goleta Union Elementary,42691956205314,805,692,0860,"401 North Fairview Avenue, Suite 11",Goleta,CA,93117,headmaster@sjda.net,0,4,7,3,3,4,1,1,0,0,0,0,0,0,0,23, ,,,,,Mrs.,Shirley,Dillon,Administrator,Coeducational,Day Only,K,8,No,0,3,5,2,1,Yes,No,No,No,Religious,Other,No,Mrs.,Shirley,Dillon,"401 North Fairview Avenue, #11",Goleta,CA,93117,shirley@sjda.net
77917,Santa Barbara,San Roque School,Santa Barbara Elementary,42692786965727,805,687,3717,3214 Calle Cedro ,Santa Barbara,CA,93105,mhagan@sanroque.net,12,8,16,7,11,15,6,9,8,14,8,6,12,0,0,132, ,,,,,Mr.,Mike,Hagan,Director,Coeducational,Day Only,K,12,Yes,11,24,1,6,24,Yes,No,No,No,Non-religious,,No,Ms.,Angela,Bolea,"San Roque School, 3214 Calle Cedro ",Santa Barbara,CA,93105,abolea@sanroque.net
77084,Santa Barbara,Santa Barbara Christian,Santa Barbara Elementary,42692786978944,805,563,4770,3723 Modoc Road ,Santa Barbara,CA,93105,news@santabarbarachristian.com,9,7,4,9,6,10,8,11,13,0,0,0,0,0,0,77, ,,,,,Mrs.,Sandra,Calkins,Head of School,Coeducational,Day Only,K,8,No,0,6,8,1,6,Yes,No,No,No,Religious,NA,No,Mrs.,Jan,Smith,3723 Modoc Road ,Santa Barbara,CA,93105,news@santabarbarachristian.com
81272,Santa Barbara,Santa Barbara Montessori School,Goleta Union Elementary,42691956904957,805,685,7600,7421 Mirano Road,Goleta,CA,93117,info@sbmontessori.com,65,14,14,13,11,10,10,6,6,0,0,0,0,0,0,149, ,,,,,Mr.,Jim,Fitzpatrick,President,Coeducational,Day Only,K,8,No,0,16,2,3,7,Yes,No,No,No,Non-religious,,No,Mrs.,Trudy,Bergerson,7421 Mirano Road,Goleta,CA,93117,trudy@sbmontessori.com
74776,Santa Barbara,Santa Ynez Valley Christian Academy,College Elementary,42691796915789,805,688,3830,891 North Refugio Road,Santa Ynez,CA,93460,s_kindschy@syvca.org,8,7,11,11,17,9,10,10,18,0,0,0,0,0,0,101, ,,,,,Mr.,Scott,Carleton,Principal,Coeducational,Day Only,K,8,No,0,9,2,1,7,Yes,No,No,No,Religious,INTD,No,Mrs.,Susan,Kindschy,891 North Refugio Road,Santa Ynez,CA,93460,s_kindschy@syvca.org
73401,Santa Barbara,St. Joseph High,Santa Maria Joint Union High,42693106940324,805,937,2038,4120 South Bradley Road,Santa Maria,CA,93455-3398,sjhsknights.com,0,0,0,0,0,0,0,0,0,147,113,175,133,0,0,568, ,,,,,Mr.,Joseph,Myers,Principal,Coeducational,Day Only,9,12,Yes,144,32,0,5,23,Yes,No,No,No,Religious,CATH,No,Mrs.,Margaret,Garcia,4120 South Bradley Road,Santa Maria,CA,93455,garcia@sjhsknights.com
82688,Santa Barbara,St. Louis de Montfort Elementary,Orcutt Union Elementary,42692606965693,805,937,5571,5095 Harp Road,Santa Maria,CA,93455,school_Office@sldmschool.org,24,29,29,26,27,32,29,31,34,0,0,0,0,0,0,261, ,,,,,Rev.,Charles,Hofschulte CJ,Other,Coeducational,Day Only,K,8,No,0,9,1,2,16,Yes,No,No,No,Religious,CATH,No,Mrs.,Kathy,Crow,5095 Harp Road,Santa Maria,CA,93455,kcrow@sldmschool.org
74851,Santa Barbara,St. Mary of the Assumption,Santa Maria-Bonita Elementary,42691206965701,805,925,6713,424 East Cypress Street,Santa Maria,CA,93454,stmarysm@sbceo.org,27,33,22,19,26,20,24,17,22,0,0,0,0,0,0,210, ,,,,,Ms.,Carmen,Vadillo,Principal,Coeducational,Day Only,K,8,No,0,8,2,1,6,Yes,No,No,No,Religious,CATH,No,Ms.,Carmen,Vadillo,424 East Cypress Street,Santa Maria,CA,93454,stmarysm@sbceo.org
80520,Santa Barbara,St. Raphael Elementary,Goleta Union Elementary,42691956965719,805,967,2115,160 St. Joseph Street,Santa Barbara,CA,93111,straph@sbceo.org,44,27,28,19,32,24,21,13,21,0,0,0,0,0,0,229, ,,,,,Rev.,Bruce,Correio,Other,Coeducational,Day Only,K,8,No,0,9,8,1,6,Yes,No,No,No,Religious,CATH,No,Mrs.,Terri,Ambrose,160 St. Joseph Street,Santa Barbara  ,CA,93111-2367,straph@sbceo.org
80082,Santa Barbara,Star Pine,Carpinteria Unified,42691466136196,805,234,5245,5323 Star Pine Road,Carpinteria,CA,93013,kellijohnston@hotmail.com,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,Mrs.,Kelli,Johnston,Administrator,Coeducational,Day Only,1,12,No,0,0,1,1,0,No,No,No,Yes,Non-religious,,No,Mrs.,Kelli,Johnston,5323 Star Pine Road,Carpinteria,CA,93013,kellijohnston@hotmail.com
80001,Santa Barbara,The Learning House,Santa Maria-Bonita Elementary,42691206138101,805,614,1938,2325 Bentley Avenue,Santa Maria,CA,93458,,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6, ,,,,,Mrs.,Armida,Ramirez,Director,Coeducational,Day Only,K,6,No,0,1,0,0,0,No,No,No,Yes,Non-religious,,No,Mrs.,Armida,Ramirez,2325 Bentley Avenue,Santa Maria,CA,93458,
75024,Santa Barbara,Valley Christian Academy,Santa Maria-Bonita Elementary,42691206932289,805,937,6317,2970 Santa Maria Way ,Santa Maria,CA,93455,vca@vcalions.com,40,41,30,30,24,23,28,16,19,18,13,16,12,0,0,310, ,,,,,Dr.,James ,Schettler,Superintendent,Coeducational,Day Only,K,12,Yes,0,16,5,1,4,Yes,No,No,No,Religious,BAPT,Yes,Mrs.,Susan,Scheetz,2970 Santa Maria Way ,Santa Maria,CA,93455,vca@vcalions.com
77834,Santa Barbara,"Waldorf School of Santa Barbara, The",Goleta Union Elementary,42691956938518,805,967,6656,401 North Fairview Avenue,Goleta,CA,93117,info@waldorfsantabarbara.org,15,0,3,11,8,14,7,9,6,0,0,0,0,0,0,73,P.O. Box 788 ,Goleta ,CA,93116,,Ms.,Joan,McGoldrick,Administrator,Coeducational,Day Only,K,8,No,0,7,8,1,1,Yes,No,No,No,Non-religious,,No,Ms.,Joan,McGoldrick,401 North Fairview Avenue,Goleta,CA,93117,
79387,Santa Clara,"Academy for Educational Excellence, The",Fremont Union High,43694686202683,408,805,0421,22520 Kinst Court,Cupertino,CA,95014,vicki_krakower@yahoo.com,1,6,0,0,0,0,0,0,0,1,1,0,0,0,0,9, ,,  ,,,Mrs.,Vicki,Krakower,Administrator,Coeducational,Day Only,K,12,Yes,0,2,2,1,0,No,No,No,Yes,Non-religious,,No,Mrs.,Vicki,Krakower,22520 Kinst Court,Cupertino,CA,95014,vicki_krakower@yahoo.com
75685,Santa Clara,"Achieve, Inc.",Palo Alto Unified,43696416979405,650,494,1200,3860 Middlefield Road,Palo Alto,CA,94303,www.achievekids.org,0,0,1,1,3,1,1,2,3,1,1,0,0,1,29,44, ,,,,,Mr.,Thomas,Drechsler,Director,Coeducational,Day Only,K,12,No,0,7,0,1,30,Yes,No,No,No,Non-religious,,Yes,Ms.,Han ,Lee,3860 Middlefield Road,Palo Alto ,CA,94303,hlee@achievekids.org
75295,Santa Clara,Achievekids,East Side Union High,43694276908222,408,928,5777,1212 McGinness Avenue,San Jose,CA,95127,s.cary@achievekids.org,0,1,3,1,2,4,0,3,4,2,1,7,22,0,0,50, ,,,,PCC/Zonta,Ms.,Skye,Cary,Director,Coeducational,Day Only,K,12,No,0,9,0,2,41,Yes,No,No,No,Non-religious,,Yes,Ms.,Lucero,Rodriguez,1212 McGinness Avenue,San Jose,CA,95127,lrodriguez@achievekids.org
72547,Santa Clara,Achiever Christian,San Jose Unified,43696666916431,408,264,6789,540 Sands Drive,San Jose,CA,95125,esands@churchonthehill.com,29,32,35,21,33,30,28,12,13,0,0,0,0,0,0,233, ,,,,,Mr.,Elliot,Sands,Administrator,Coeducational,Day Only,K,8,No,0,15,7,3,13,Yes,No,No,No,Religious,BAPT,No,Mrs.,LaVawn,Engles,540 Sands Drive,San Jose,CA,95125,lengles@achieverweb.org
74901,Santa Clara,Almaden Valley Christian,Morgan Hill Unified,43695837083587,408,776,6691,16465 Carlson Drive,Morgan Hill,CA,95037,sharon1960@hughes.net,2,9,3,3,12,8,7,8,5,7,11,3,4,0,7,89, ,,,,,Mrs.,Sharon,Hensley,Director,Coeducational,Day Only,K,12,Yes,5,65,1,1,5,No,No,No,Yes,Religious,NA,Yes,Mrs.,Becky ,Bergeron,16465 Carlson Drive,Morgan Hill,CA,95037,becky@avcsbooks.com
80844,Santa Clara,Apostles Lutheran,Oak Grove Elementary,43696257027733,408,578,4800,5828 Santa Teresa Boulevard,San Jose,CA,95123,sluehring@apostlessj.org,25,20,19,24,19,16,16,17,12,0,0,0,0,0,0,168, ,,,,,Mr.,Shaun,Luehring,Principal,Coeducational,Day Only,K,8,No,0,10,2,1,1,Yes,No,No,No,Religious,LUTH,No,Mrs.,Debbie ,LaRont,5828 Santa Teresa Boulevard,San Jose,CA,95123,schooladm@apostlessj.org
